Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
見覚え,みおぼえ,mioboe,danh từ,trí nhớ; bộ nhớ; kỉ niệm; kí,,memory (of having seen something or someone before); remembrance; recollection,
ミラー,,mira,danh từ,gương; kiếng; phản chiếu,,mirror,
ミラージュ,,miraju,danh từ,ảo ảnh; ảo tượng,,mirage,
ミラクル,,mirakuru,danh từ,kì tích; phép mầu,,miracle,
ミレニアム,,mireniamu,danh từ,thiên niên kỉ,,millennium,
ミリオン,,mirion,danh từ,triệu,,million,
ミール,,miru,danh từ,bữa; bữa ăn; bữa cơm; cơm nước,,meal (ground grain),
看る,みる,miru,động từ,chăm sóc; coi sóc; trông nom; chăm nom,,to look after (often medically); to take care of,
魅力的,みりょくてき,miryokuteki,tính từ na,quyến rũ; rù quến; đậm đà; duyên dáng,,charming; fascinating; attractive,
魅了,みりょう,miryou,danh từ,bùa; ngải; phong vị; duyên,,charm; fascination,
弥撒,ミサ,misa,danh từ,thánh lễ; người dân; khối; khối lượng,,(Catholic) Mass,
ミサイル,,misairu,danh từ,tên lửa; hoả tiễn,,missile,
操,みさお,misao,danh từ,vinh; vinh hạnh; tiết tháo; thể diện,,fidelity; honour; honor,
見せ場,みせば,miseba,danh từ,cao điểm; điểm nhấn; nêu bật; cao trào,,highlight (scene); high point; climax,
未成年,みせいねん,miseinen,danh từ,thiểu số; thứ yếu; vị thành niên,,minority (i.e. being under age); minor; underage person,
未成年者,みせいねんしゃ,miseinensha,danh từ,thứ yếu; vị thành niên,,minor; underage person,
見せ掛け,みせかけ,misekake,danh từ,tư thế; sô; chiêu bài; chê cười,,seeming; pose; show,
見知らぬ,みしらぬ,mishiranu,tính từ,xa lạ; lạ; kì dị; kì lạ,,strange; unfamiliar; unknown,
見損なう,みそこなう,misokonau,động từ,hiểu lầm; lầm lẫn; nhầm lẫn; lẫn,,to misjudge; to mistake; to misread,
ミッション,,misshon,danh từ,phái đoàn; phái bộ; tôn chỉ; đoàn đại biểu,,mission; delegation,
見過ごす,みすごす,misugosu,động từ,ngơ; bỏ qua; nhớ nhung; sơ hở,,to let go by; to let pass; to overlook,
ミスター,,misuta,danh từ,cụ,,mister; Mr,
ミステリー,,misuteri,danh từ,bí ẩn,,mystery,
ミステリアス,,misuteriasu,tính từ na,huyền bí; huyền diệu; thần bí; bí ẩn,,mysterious,
見捨てる,みすてる,misuteru,động từ,bỏ rơi; bỏ mặc; từ bỏ; lìa,,to abandon; to fail; to desert,
みたい,,mitai,hậu tố,như nhau; tương tự; xêm xêm,,-like; sort of; similar to,
見た目,みため,mitame,danh từ,dáng vẻ; dáng điệu; vẻ; dáng,,appearance; look,
見たところ,みたところ,mitatokoro,cụm từ,té ra; tựa hồ; hiển nhiên; hình như,,judging from appearances; to all appearances; from the looks of it,
ミーティング,,mitingu,danh từ,buổi họp; hội nghị; hội họp,,meeting,
ミート,,mito,danh từ,thịt thà; cơm,,meat,
認め,みとめ,mitome,danh từ,a ha,,approval; acceptance; recognition,
蜜,みつ,mitsu,danh từ,mật; mật ong; cục cưng,,nectar,
見つめる,みつめる,mitsumeru,động từ,chú mục; chong; ánh mắt; ánh nhìn,,to stare (at); to gaze (at); to look hard (at),
密林,みつりん,mitsurin,danh từ,rừng,,close thicket; dense forest; jungle,
見っともない,みっともない,mittomonai,tính từ i,nhục nhã; bêu; chướng; bất nhã,,shameful; disgraceful; unsightly,
身内,みうち,miuchi,danh từ,bà con; thân thuộc; bạn bè; bầu bạn,,relatives; one's family,
身動き,みうごき,miugoki,động từ,phong trào; động tác; trào lưu; cử động,,movement (of one's body); moving about; stirring,
見受ける,みうける,miukeru,động từ,nhác; trông thấy; giả sử; chộ,,to catch sight of; to see; to suppose,
見失う,みうしなう,miushinau,động từ,nhớ nhung; nuối tiếc; thương nhớ; tiếc nuối,,to lose sight of; to miss,
見分ける,みわける,miwakeru,động từ,phân biệt; khu biệt; nhận diện; nhận biết,,to distinguish; to recognize; to recognise,
魅惑,みわく,miwaku,động từ,sức hút; nhử; mê hoặc; cám dỗ,,attraction; fascination; lure,
見破る,みやぶる,miyaburu,động từ,khám phá; phát hiện; phát giác; lường,,"to see through (a plot, lie, etc.); to penetrate into; to discover",
深山,みやま,miyama,danh từ,núi; rú; cồn; non,,mountain recesses; heart of the mountains; (place) deep in the mountains,
身寄り,みより,miyori,danh từ,họ hàng; thân nhân; người nhà,,relative; relation,
未然,みぜん,mizen,danh từ,mọi lúc,,before it happens; previously,
水揚げ,みずあげ,mizuage,động từ,tróc nã; bắt; chụp; rớ,,landing; unloading (e.g. a ship),
水辺,みずべ,mizube,danh từ,bãi; bờ; bờ bến; bến bờ,,water's edge; waterside; shore,
水浸し,みずびたし,mizubitashi,danh từ,lụt lội,,submersion; inundation; being flooded,
水際,みずぎわ,mizugiwa,danh từ,bãi; bờ; bờ bến; bến bờ,,water's edge; waterside; shore,
水入らず,みずいらず,mizuirazu,danh từ,mình ên; trơ; đơn thương độc mã; tự,,(being) by oneself; with no outsiders present,
水色,みずいろ,mizuiro,danh từ,hồ thuỷ,,light blue; pale blue; aqua,
水臭い,みずくさい,mizukusai,tính từ i,xa xôi; dè dặt; xa xăm; trầm tính,,stand-offish; distant; not frank,
水増し,みずまし,mizumashi,động từ,lạm phát,,dilution; watering down,
瑞々しい,みずみずしい,mizumizushii,tính từ i,linh động; tươi sáng; hoạt bát; mọng,,fresh and youthful; lively; vibrant,
見ず知らず,みずしらず,mizushirazu,tính từ,xa lạ; lạ; kì dị; kì lạ,,strange; unfamiliar; unknown,
も,,mo,trợ từ,cũng; nốt; quá đỗi; quá sức,,too; also; in addition,
喪,も,mo,danh từ,tang tóc; hoạn nạn; vạ; thảm hoạ,,mourning,
藻,も,mo,danh từ,tảo; rong biển; bèo; rong,,algae; waterweed; seaweed,
持ち,もち,mochi,danh từ,lục đục; qua; chủ nhân; chủ,,having; holding; possessing,
持ち出す,もちだす,mochidasu,động từ,ra khỏi; trích; tiến hành; triển,,to take out; to carry out; to bring out from where it belongs,
モチーフ,,mochifu,danh từ,mô-típ,,motif,
持ち帰り,もちかえり,mochikaeri,danh từ,food-to-go; cơm hộp,,takeout (food); take-out; takeaway,
持ち帰る,もちかえる,mochikaeru,động từ,ra khỏi; trích,,to take home; to carry home; to bring back home,
持ち込む,もちこむ,mochikomu,động từ,nạp; hấp thụ; hấp thu; tiếp thu,,to bring in; to take in; to carry in,
持ち越す,もちこす,mochikosu,động từ,sờn; hoãn; lùi,,"to carry over (an issue, decision, work, etc.); to carry forward; to put off",
持ち堪える,もちこたえる,mochikotaeru,động từ,chống giữ; chịu đựng; chìa; trụ,,to hold out (e.g. against an attack); to hang on; to withstand,
持ち前,もちまえ,mochimae,tính từ,bẩm sinh; hồn nhiên; thiên nhiên; thiên tạo,,natural; inborn; innate,
持ち回り,もちまわり,mochimawari,danh từ,tua,,"rotation (of a post, role, etc.); taking turns",
持ち直す,もちなおす,mochinaosu,động từ,hồi phục; bình phục; vãn hồi; khôi phục,,to recover; to rally; to improve,
持ち主,もちぬし,mochinushi,danh từ,chủ nhân; chủ,,"owner; proprietor; possessor (e.g. of talent, beauty, etc.)",
勿論,もちろん,mochiron,trạng từ,hẳn nhiên; dĩ nhiên; tất nhiên; tất,,of course; certainly; naturally,
望月,もちづき,mochizuki,danh từ,trăng tròn,,full moon; moon on the 15th day of the month (by the lunar calendar),
モデム,,modemu,danh từ,modem,,modem,
モード,,modo,danh từ,cách; phách; lề lối; chế độ,,mode; manner; way,
戻り,もどり,modori,danh từ,trở lại; quay lại; hoàn; hoàn trả,,return; reaction; recovery,
燃え上がる,もえあがる,moeagaru,động từ,loé; bùng phát; bùng; bột phát,,to flare up; to burst into flames,
萌える,もえる,moeru,động từ,nứt nanh; nảy nở; trỗi; đâm,,to burst into bud; to sprout,
藻掻く,もがく,mogaku,động từ,ngọ nguậy; đấu tranh; vật lộn; chống chọi,,to struggle; to writhe; to wriggle,
モーゲージ,,mogeji,danh từ,cầm cố,,mortgage,
捥ぐ,もぐ,mogu,động từ,gảy; khảy; trảy; bứt,,to pluck (esp. by twisting from a tree); to pick (e.g. apples),
最早,もはや,mohaya,trạng từ,rỗi; rồi; rày; chừ,,already; now,
文字通り,もじどおり,mojidoori,trạng từ,nguyên xi; thư; chữ cái; mẫu tự,,literally; to the letter,
木工,もっこう,mokkou,danh từ,thợ mộc; mộc; khéo tay,,woodworking; woodwork; woodworker,
木片,もくへん,mokuhen,danh từ,dằm; phiến; tảng; bánh,,block (of wood); chip; splinter,
木星,もくせい,mokusei,danh từ,sao Mộc,,Jupiter (planet),
木炭,もくたん,mokutan,danh từ,than củi; than gỗ,,charcoal,
目的地,もくてきち,mokutekichi,danh từ,chốn; mục tiêu; khung thành; mục đích,,destination (one is heading towards); goal,
木曜,もくよう,mokuyou,danh từ,thứ năm,,Thursday,
揉める,もめる,momeru,động từ,tranh chấp; giành; biện bác; đánh nhau,,to disagree; to dispute; to fight (over),
桃,もも,momo,danh từ,đào,,peach (Prunus persica),
桃色,ももいろ,momoiro,danh từ,hồng; đào,,"pink (colour, color); peach",
紋,もん,mon,danh từ,mào; mề đay; mồng; hoạ tiết,,(family) crest; coat of arms,
問題意識,もんだいいしき,mondaiishiki,danh từ,lo âu; can hệ; can,,awareness of the issues; (having a) critical mind; concerns,
問題ない,もんだいない,mondainai,cụm từ,không có chi; không có gì; không sao; rồi,,no problem; all right; not an issue,
問題点,もんだいてん,mondaiten,danh từ,gút mắc; vấn nạn; vấn đề; khúc mắc,,the problem (at issue); the point at issue; problematic issue,
門外漢,もんがいかん,mongaikan,danh từ,nghiệp dư; a-ma-tơ,,outsider; layman; amateur,
モーニング,,moningu,danh từ,sáng; buổi sáng; đán,,morning,
門下生,もんかせい,monkasei,danh từ,học sinh; ngươi; đồ đệ; tín đồ,,pupil; disciple; follower,
モンキー,,monki,danh từ,tườu; khọn; voọc; khỉ,,monkey,
文句なし,もんくなし,monkunashi,tính từ,hoàn toàn; rặt; hoàn hảo; trọn,,undisputed; entirely; perfect,
物腰,ものごし,monogoshi,danh từ,phong cách; dáng điệu; cách thức; cử chỉ,,manner; demeanour; demeanor,
物言い,ものいい,monoii,danh từ,ngữ khí,,manner of speaking,
物陰,ものかげ,monokage,danh từ,vỏ; trú ẩn; vung; chứa,,place hidden from view; cover; shelter,
ものの,,monono,trợ từ,tuy rằng; mặc dù; tuy; dẫu,,although; though; despite the fact that ...,
物覚え,ものおぼえ,monooboe,danh từ,trí nhớ; bộ nhớ; kỉ niệm,,memory; ability to learn,
モノトーン,,monoton,danh từ,đơn điệu,,monotone,
問責,もんせき,monseki,động từ,quở; trách; đổ; chỉ trích,,blame; censure; reproof,
紋章,もんしょう,monshou,danh từ,mào; mề đay; mồng,,crest; coat of arms,
モンスーン,,monsun,danh từ,gió mùa; mùa mưa,,monsoon,
モンスター,,monsuta,danh từ,quái vật; quái thú; quái,,monster; monstrosity,
文様,もんよう,monyou,danh từ,hoạ tiết; khuôn; kiểu mẫu; mô thức,,pattern; design,
モニュメント,,monyumento,danh từ,tượng đài; bia; khánh thành,,monument,
モラル,,moraru,danh từ,đạo đức; luân lí; chính chuyên; luân lí học,,morals; morality; ethics,
モラトリアム,,moratoriamu,danh từ,đuôi; tiện ích,,"moratorium; period of grace; extension (of time, e.g. to make payments)",
貰う,もらう,morau,động từ,thu nhận; thu nạp; tiếp nhận; lãnh,,to receive; to take; to accept,
守り,もり,mori,danh từ,quản thủ; cái,,babysitting; babysitter,
盛り上がり,もりあがり,moriagari,danh từ,cao trào; cao điểm; đỉnh cao; mấu,,climax; uprush,
盛り上げる,もりあげる,moriageru,động từ,chất đống; chồng chất; vun; ùn,,to pile up; to heap up,
盛り込む,もりこむ,morikomu,động từ,tựu trung; bao hàm; bao quát; kể cả,,to incorporate; to include,
モルグ,,morugu,danh từ,nhà xác,,morgue; mortuary,
モルモット,,morumotto,danh từ,chuột lang; chuột bạch; bọ,,guinea pig (Cavia porcellus),
モルタル,,morutaru,danh từ,vữa; súng cối; cối,,mortar,
若し,もし,moshi,trạng từ,giả như; gián hoặc; nhược bằng; ví,,if; in case; supposing,
若しかしたら,もしかしたら,moshikashitara,cụm từ,có lẽ; biết đâu; âu; âu là,,perhaps; maybe; perchance,
若しかして,もしかして,moshikashite,trạng từ,có lẽ; biết đâu; âu; có thể,,perhaps; possibly; maybe,
若しかすると,もしかすると,moshikasuruto,trạng từ,có lẽ; biết đâu; âu; có thể,,perhaps; possibly; maybe,
若しくは,もしくは,moshikuha,liên từ,hoặc; âu là; hay; kẻo,,or; otherwise,
若しも,もしも,moshimo,trạng từ,giả như; gián hoặc; nhược bằng; ví,,if; in case; supposing,
モーション,,moshon,danh từ,vận động,,motion,
齎す,もたらす,motarasu,động từ,đưa; đem; dẫn nhập; giới thiệu,,"to bring (news, knowledge, etc.); to introduce",
凭れる,もたれる,motareru,động từ,dựa; chống,,to lean against; to lean on; to recline on,
モーターサイクル,,motasaikuru,danh từ,xe gắn máy; xe mô tô,,motorcycle,
モテない,,motenai,tính từ i,vô duyên,,unwelcome; nerdish; unpopular,
持て成し,もてなし,motenashi,danh từ,chữa trị; công ơn; khu nghỉ dưỡng; resort,,hospitality; reception; treatment,
持て成す,もてなす,motenasu,động từ,thết; thu dung; thết đãi; đối xử,,to treat (a guest); to receive; to entertain,
持てる,もてる,moteru,động từ,nổi,,"to be able to possess (hold, get, etc.)",
元より,もとより,motoyori,trạng từ,trước sau; vốn dĩ; mới đầu; vốn,,from the beginning; from the first; all along,
勿体ない,もったいない,mottainai,tính từ i,xa; hoang phí; hoài phí; lãng phí,,wasteful; a waste,
以て,もって,motte,cụm từ,bằng; qua; do; cùng,,with; by; by means of,
持っていく,もっていく,motteiku,động từ,rinh; chịu đựng; cắn răng; kết,,to take (something) along; to bring with one; to carry (something) away,
持ってくる,もってくる,mottekuru,động từ,đưa; đem; kín; hóng,,to bring (something); to take along; to fetch,
モットー,,motto,danh từ,khẩu hiệu; châm ngôn,,motto,
尤もらしい,もっともらしい,mottomorashii,tính từ i,nghiêm trang; trang nghiêm; trịnh trọng; oai phong,,plausible; believable,
盲腸,もうちょう,mouchou,danh từ,phụ lục,,cecum; caecum; blind gut,
毛筆,もうひつ,mouhitsu,danh từ,bót; cọ; chà; chải,,"(writing, painting) brush",
猛威,もうい,moui,danh từ,uy lực; đe doạ; công suất; doạ,,fury; power; menace,
もう一度,もういちど,mouichido,cụm từ,lại; vả,,once more; again,
儲け,もうけ,mouke,danh từ,lợi nhuận; lợi; lời; doanh thu,,profit; earnings,
網膜,もうまく,moumaku,danh từ,màng lưới; võng mạc,,retina,
盲目,もうもく,moumoku,danh từ,bình phong; rèm; mù; đui,,blindness,
申し合わせ,もうしあわせ,moushiawase,danh từ,quan niệm; hiểu biết; trí lự,,mutual agreement; understanding; common consent,
申し分ない,もうしぶんない,moushibunnai,cụm từ,viên mãn; toàn vẹn; hoàn hảo; tuyệt hảo,,perfect; ideal; completely satisfactory,
申し出,もうしで,moushide,danh từ,đơn; đề án; đề đạt; chào hàng,,proposal; offer; request,
申し入れ,もうしいれ,moushiire,danh từ,chào hàng; cáo thị; thông báo; đề án,,proposal; offer; report,
申し込み,もうしこみ,moushikomi,danh từ,đơn; ứng dụng; mục từ; chào hàng,,application; entry; request,
申込書,もうしこみしょ,moushikomisho,danh từ,đơn; ứng dụng,,(written) application; application form,
申し立て,もうしたて,moushitate,danh từ,biên bản; câu nói; trương mục; tuyên ngôn,,statement; account (of something); declaration,
申し訳ありません,もうしわけありません,moushiwakearimasen,cụm từ,xin lỗi,,I'm sorry; (it's) inexcusable,
妄想,もうそう,mousou,động từ,vọng tưởng; mê; ảo tưởng; ngờ,,delusion; wild idea; (wild) fancy,
模造,もぞう,mozou,động từ,giả mạo; đóng kịch; giả; giả tạo,,imitation; counterfeit; fake,
ムービー,,mubi,danh từ,chớp bóng; chiếu bóng; khán giả; xi-nê,,movie; film,
無謀,むぼう,mubou,tính từ na,lốp bốp; bất tử; bừa; bạt mạng,,reckless; thoughtless; rash,
ムーブメント,,mubumento,danh từ,phong trào; động tác; trào lưu; cử động,,"movement (political, social, artistic, etc.)",
無恥,むち,muchi,tính từ na,mặt dày; vô liêm sỉ; vô sỉ; trơ trẽn,,shameless,
無秩序,むちつじょ,muchitsujo,tính từ na,bệnh chứng; rối loạn; loạn; lú lẫn,,disorder; chaos; confusion,
ムーディー,,mudi,tính từ na,bay bổng; tình tứ; lãng mạn,,having a good atmosphere; atmospheric; romantic,
無益,むえき,mueki,tính từ na,vô ích; tầm phào; vô dụng; dã tràng,,useless; futile; vain,
無縁,むえん,muen,tính từ,lạc lõng; thờ ơ; vô cảm; chai lì,,unrelated; unconnected; irrelevant,
無風,むふう,mufuu,tính từ,an; bình tĩnh; phẳng lặng; im,,windless; calm; no-wind,
無我,むが,muga,danh từ,vô ngã,,selflessness; self-effacement; self-renunciation,
無害,むがい,mugai,tính từ na,vô hại; hiền,,harmless,
夢幻,むげん,mugen,danh từ,giấc mơ; ước mơ; tâm nguyện; mơ,,dreams; fantasy; visions,
麦,むぎ,mugi,danh từ,lúa mì; tiểu mạch; lúa mạch; đại mạch,,wheat; barley; oat (oats),
無法,むほう,muhou,danh từ,hàm oan; sai trái; sai; sai lầm,,lawlessness; injustice; wrong,
無報酬,むほうしゅう,muhoushuu,danh từ,vô đoan; vô cớ,,unpaid; without pay; gratuitous,
無意識,むいしき,muishiki,danh từ,vô thức; tự động; bất tỉnh; mê man,,unconsciousness,
無人,むじん,mujin,tính từ,hoang vắng; hoang; hiu quạnh; quạnh,,unmanned; uninhabited; unattended,
無実,むじつ,mujitsu,danh từ,hàm oan,,innocence; guiltlessness; false accusation,
無情,むじょう,mujou,danh từ,vô giác; thều thào,,heartlessness; hardness of heart; coldheartedness,
迎え撃つ,むかえうつ,mukaeutsu,động từ,hứa hôn; đối kháng; chặn; khớp,,to meet (the enemy) and attack; to engage (the approaching enemy); to confront,
向い,むかい,mukai,danh từ,trái ngược; đối nghịch; tương phản; kia,,facing; opposite; across the street,
ムカムカ,,mukamuka,động từ,nôn nao,,feeling sick; feeling queasy; feeling nauseated,
無関心,むかんしん,mukanshin,tính từ na,thờ ơ; lạnh nhạt; vô cảm; lãnh đạm,,apathetic; indifferent; nonchalant,
昔話,むかしばなし,mukashibanashi,danh từ,huyền thoại; truyền thuyết; tục; chú giải,,old tale; folk tale; legend,
無形,むけい,mukei,tính từ,vô định hình; phi vật thể; trừu tượng; chính chuyên,,formless; immaterial; intangible,
剥ける,むける,mukeru,động từ,bóc; tuột,,to peel off; to come off; to be taken off,
向き,むき,muki,danh từ,phương; hướng; phương hướng; ngả,,direction; orientation; aspect,
無期,むき,muki,tính từ,phiếm; vô hạn; vô lượng,,indefinite; unlimited,
無期限,むきげん,mukigen,tính từ,phiếm,,indefinite,
無菌,むきん,mukin,danh từ,tiệt; vô trùng; hiếm hoi; hiếm muộn,,sterilised; sterilized; sterile,
無傷,むきず,mukizu,tính từ,vô sự; vô dạng; toàn bích; toàn vẹn,,unhurt; uninjured; unwounded,
向こう側,むこうがわ,mukougawa,danh từ,đối phương,,other side; opposite side; other party,
報いる,むくいる,mukuiru,động từ,tưởng thưởng; ban thưởng; phần thưởng; bù đắp,,to reward; to recompense; to repay,
浮腫,むくみ,mukumi,danh từ,phù nề; bìu; u; vêu,,swelling; edema; oedema,
無休,むきゅう,mukyuu,danh từ,dài; không ngừng; thẳng,,without a holiday; nonstop,
無名,むめい,mumei,tính từ,vô danh; khuyết danh; nặc danh; ẩn danh,,nameless; unnamed; anonymous,
ムーン,,mun,danh từ,nguyệt; trăng; bạch thỏ; hoả châu,,moon,
虚しい,むなしい,munashii,tính từ i,trống; sạch bách; dốc; trống trải,,empty; void; vacant,
旨,むね,mune,danh từ,nguyên lí; nguyên tắc; nghi tắc; bản chí,,principle; aim; main purpose,
紫色,むらさきいろ,murasakiiro,danh từ,đỏ tía; tía,,purple; violet,
群れる,むれる,mureru,động từ,chen chúc; đám đông; đám; lạc đàn,,to crowd; to flock; to swarm,
ムール,,muru,danh từ,trai,,mussels,
無量,むりょう,muryou,tính từ,vô lượng; khôn cùng; mênh; mênh mang,,immeasurable; infinite; inestimable,
無差別,むさべつ,musabetsu,danh từ,bâng quơ; quàng; càn; bất kì,,indiscrimination; without discrimination,
貪る,むさぼる,musaboru,động từ,ngốt; thèm muốn; tham; ham muốn,,to covet; to crave; to be greedy for,
無政府,むせいふ,museifu,danh từ,vô chính phủ; vô trị,,anarchy,
無制限,むせいげん,museigen,tính từ,vô hạn; vô lượng; rộng cẳng; vô cùng tận,,unlimited; unrestricted; limitless,
武者,むしゃ,musha,danh từ,chiến binh; tráng sĩ; chiến sĩ; võ sĩ,,warrior,
蒸し,むし,mushi,danh từ,hổi,,steaming,
蝕む,むしばむ,mushibamu,động từ,phá huỷ; huỷ hoại; nựng; chống phá,,to be worm-eaten; to be eaten by worms,
蒸し返す,むしかえす,mushikaesu,động từ,hâm nóng; hâm; dượt; xào,,to reheat; to steam over,
無資格,むしかく,mushikaku,tính từ na,bất hợp lệ,,unqualified; unlicensed; uncertified,
無神経,むしんけい,mushinkei,tính từ na,vô tâm; ác khẩu; chai lì; tuềnh toàng,,insensitive; inconsiderate; callous,
無職,むしょく,mushoku,tính từ,thất nghiệp; nhàn rỗi,,without an occupation; unemployed; jobless,
無色,むしょく,mushoku,tính từ,phiếm định; trung lập; trung hoà; công chính,,colourless; colorless; achromatic,
無償,むしょう,mushou,tính từ,nhàn rỗi; rảnh rang; rảnh rỗi; khuây,,without compensation; without reward; without pay,
無性に,むしょうに,mushouni,trạng từ,thí mẹ; hú vía; hết hồn; thấy mồ,,very much; intensely; overwhelmingly,
無所属,むしょぞく,mushozoku,danh từ,tự chủ; độc lập,,independent (esp. in politics); non-partisan,
無修正,むしゅうせい,mushuusei,tính từ,còn nguyên,,unaltered; unedited; unamended,
夢想,むそう,musou,động từ,chiêm bao; mơ; mơ ước; nằm mơ,,dream; vision; reverie,
結びつく,むすびつく,musubitsuku,động từ,tiếp giáp; đưa; thực hiện,,to be related; to be connected; to be joined together,
娘婿,むすめむこ,musumemuko,danh từ,rể,,son-in-law,
無敵,むてき,muteki,tính từ,bất khả chiến bại; vô địch; vô đối; vô song,,invincible; unrivaled; unrivalled,
ムッと,,mutto,động từ,bực bội; phật lòng; chạnh lòng; lẫy,,to be offended; to get angry; to be annoyed,
むっつり,,muttsuri,động từ,lẳng lặng; im ỉm; âm thầm,,sullenly; taciturnly; morosely,
無欲,むよく,muyoku,tính từ na,vị tha,,unselfish; disinterested; unavaricious,
無残,むざん,muzan,tính từ na,tàn nhẫn; ác; bạo ngược; cay độc,,cruel; merciless; atrocious,
無税,むぜい,muzei,danh từ,miễn thuế,,duty-free; tax-free,
無造作,むぞうさ,muzousa,tính từ na,dễ; dễ dàng; hanh thông; dễ dãi,,easy; simple; ready,
脈拍,みゃくはく,myakuhaku,danh từ,mạch,,pulse; pulse rate; pulsation,
脈絡,みゃくらく,myakuraku,danh từ,ngữ cảnh; văn cảnh; văn mạch; khung cảnh,,logical connection; chain of reasoning; coherence,
妙案,みょうあん,myouan,danh từ,sáng kiến,,ingenious idea; excellent plan; bright idea,
苗字,みょうじ,myouji,danh từ,họ; tên họ,,surname; family name; last name,
明星,みょうじょう,myoujou,danh từ,sao Mai; sao Kim; tinh cầu; sao,,morning star; Venus,
明年,みょうねん,myounen,danh từ,sang năm,,next year,
妙手,みょうしゅ,myoushu,danh từ,danh thủ; trạng; chuyên gia; chuyên viên,,"spectacular move (chess, shogi, etc.); brilliant move",
ミュージアム,,myujiamu,danh từ,bác vật quán; bảo tàng,,museum,
ミュージシャン,,myujishan,danh từ,nhạc sĩ; nhạc công; nghệ sĩ,,musician,
ミューズ,,myuzu,danh từ,nàng thơ; ngẫm nghĩ; ngẫm; tơ tưởng,,Muse; one's muse,
な,,na,trợ từ,mựa; đừng; hãy; có,,don't,
菜,な,na,danh từ,ve; lục; mơn mởn; non nớt,,greens; vegetables,
ナーバス,,nabasu,tính từ na,hồi hộp; rối rít; hoảng hốt; nơm nớp,,nervous,
ナビゲーター,,nabigeta,danh từ,em-xi; chiêu đãi viên; chủ toạ; vật chủ,,navigator,
靡く,なびく,nabiku,động từ,phấp phới; oằn; khom; cúi,,to bend; to flutter; to wave,
ナチズム,,nachizumu,danh từ,chủ nghĩa Quốc xã,,Nazism; national socialism,
ナチュラル,,nachuraru,tính từ na,bẩm sinh; hồn nhiên; thiên nhiên; thiên tạo,,natural,
灘,なだ,nada,danh từ,khơi,,open sea,
宥める,なだめる,nadameru,động từ,dỗ dành; xoa dịu; dẹp yên; bình tĩnh,,to soothe; to calm; to pacify,
等,など,nado,trợ từ,vân vân; vân vân và mây mây; hoạt cảnh; thửa,,et cetera; etc.; and the like,
苗床,なえどこ,naedoko,danh từ,vườn ươm,,seedbed; nursery; seed-plot,
萎える,なえる,naeru,động từ,biến mất; mất tích; héo hắt; không cánh mà bay,,"to lose strength; to become weak; to disappear (of energy, drive, etc.)",
長い間,ながいあいだ,nagaiaida,cụm từ,tháng ngày,,long time; long interval; for quite some time,
長持ち,ながもち,nagamochi,động từ,vĩnh viễn; bền,,long-lasting; long-wearing; wears well,
長年,ながねん,naganen,danh từ,tháng ngày,,many years; a long time,
乍ら,ながら,nagara,trợ từ,trong khi; vào; như; xuyên suốt,,while; during; as,
長らく,ながらく,nagaraku,trạng từ,lâu; lâu dài; dài; chầy,,long; (for a) long time,
乍らも,ながらも,nagaramo,cụm từ,dẫu; dẫu rằng; tuy rằng; mặc dù,,though; although; notwithstanding,
流れ星,ながれぼし,nagareboshi,danh từ,sao xẹt; sao băng; loé; cháy,,shooting star; falling star; meteor,
流れ込む,ながれこむ,nagarekomu,động từ,đổ,,to flow into; to pour into; to stream into,
長さ,ながさ,nagasa,danh từ,chiều dài; bề dài; thời lượng; trường độ,,length,
長屋,ながや,nagaya,danh từ,phố,,tenement house; row house,
投げ,なげ,nage,danh từ,hất; ném; phóng; vất,,throw; throwing,
嘆かわしい,なげかわしい,nagekawashii,tính từ i,chối; đáng tiếc; buồn; khổ sở,,lamentable; deplorable; regrettable,
嘆き,なげき,nageki,danh từ,thất tình,,grief; lamentation,
和む,なごむ,nagomu,động từ,hoàn hồn; lắng; từ từ,,to be softened; to calm down,
名残惜しい,なごりおしい,nagorioshii,tính từ i,chàng ràng; miễn cưỡng,,reluctant (to part),
殴り込み,なぐりこみ,nagurikomi,danh từ,càn; công kích; xung kích; kích động,,raid; attack; assault,
無い,ない,nai,tính từ i,vô chủ; vô thừa nhận,,nonexistent; not being (there),
ナイーブ,,naibu,tính từ na,hồn nhiên; vô tội; ngây thơ; nai,,innocent; sensitive; uncomplicated,
内分泌,ないぶんぴ,naibunpi,tính từ,nội tiết,,endocrine,
ナイチンゲール,,naichingeru,danh từ,dạ oanh,,nightingale (Luscinia megarhynchos),
内包,ないほう,naihou,động từ,hàm ý; trí lự,,connotation; comprehension; intension,
内実,ないじつ,naijitsu,danh từ,số liệu; chân; phản ánh; kể ra,,the facts; the truth; the true state of affairs,
内海,ないかい,naikai,danh từ,vịnh; người bay; hồ; trằm,,inland sea; inlet; gulf,
内規,ないき,naiki,danh từ,thông tục; thói tục; truyền thống; tục lệ,,private regulations; bylaws; internal rules,
内向,ないこう,naikou,động từ,hướng nội,,introversion,
内向的,ないこうてき,naikouteki,tính từ na,tự kỉ; lầm lì,,introverted; withdrawn,
内面,ないめん,naimen,danh từ,nội bộ; trong; nội thất; bộ óc,,inside; interior,
ナイン,,nain,danh từ,khươm; chín; đội; team,,nine,
内政,ないせい,naisei,danh từ,nội vụ,,domestic affairs; internal administration,
